/home/sdn/Desktop/2/application/nfv/nat.click:43: While initializing 'fr_int :: FromDevice':
  warning: s10-eth2: no IPv4 address assigned
/home/sdn/Desktop/2/application/nfv/nat.click:41: While initializing 'fr_ext :: FromDevice':
  warning: s10-eth1: no IPv4 address assigned
nat_ci_3:   70 | 33330000 00024613 54f1794d 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00024613 54f1794d 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00024613 54f1794d 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00024613 54f1794d 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00024613 54f1794d 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00024613 54f1794d 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00024613 54f1794d 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00024613 54f1794d 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00024613 54f1794d 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00024613 54f1794d 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00024613 54f1794d 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00024613 54f1794d 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00024613 54f1794d 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00024613 54f1794d 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00024613 54f1794d 86dd6000 00000010 3afffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:  107 | 33330000 00fbea5e ea433f60 86dd6004 40670035 11fffe80
nat_ci_3:   70 | 33330000 0002b2f3 2a49e8b0 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002b2f3 2a49e8b0 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002b2f3 2a49e8b0 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002b2f3 2a49e8b0 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002b2f3 2a49e8b0 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 0002b2f3 2a49e8b0 86dd6000 00000010 3afffe80
nat_ce_3:   70 | 33330000 000262dd b6dbbc01 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000005 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000005 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000005 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000005 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000005 86dd6000 00000010 3afffe80
nat_ci_3:   70 | 33330000 00020000 00000005 86dd6000 00000010 3afffe80
